NAME_ONE,HAZARD_COD,BASIN_NAME,RIVER_STRE,DAM_HEIGHT,DAM_LENGTH,SURFACE_AR,YEARBUILT,longitude,latitude
Wheaton Pond Dam,D,Oswego,Tr-Eelpot Creek,6,0,3,1954,-77.4605555556,42.5833333333
J Klute Pond Dam,A,Genesee,Tr-Mill Creek,6,0,5,1955,-77.4597222222,42.74
Robert Seligan Dam,D,Chemung,Trout Run,18,0,4,1956,-77.3138888889,42.5063888889
Village Of Naples Dam,A,Oswego,Tr-Eelpot Creek,25,0,4,1957,-77.4325,42.6025
William Pompliano Dam,0,Oswego,Tr-Flint Creek,14,0,2,1957,-77.2877777778,42.5861111111
Frank Buholtz Dam,0,Oswego,West River,4,0,5,1959,-77.2597222222,42.6180555556
Emerson Produce Reservoir Dam & Dike,B,Oswego,Tr-West River,50,440,13,1962,-77.2527777778,42.7008333333
Stuart Mitchell Pond Dam,A,Oswego,Tr-West River,30,200,6,1964,-77.2566666667,42.6975
John Streiffert Dam,0,Oswego,Seagar Gully,9,0,2,1964,-77.2988888889,42.5861111111
Sam Magnera Dam,D,Chemung,Lyon Creek,17,0,2,1965,-77.3316666667,42.5541666667
Ontario Parks Dam,B,Oswego,Tr-Canandaigua Lake,20,0,2,1966,,
,42.71,,,,,,,,
Lake Wellington Dam - Camp Cutler,B,Oswego,Tr-Grimes Creek,39,670,6,1967,-77.4372222222,42.6733333333
Harold Burgess Dam,0,Oswego,Tr-West River,7,0,5,1967,-77.2680555556,42.6727777778
Floyd Spike Dam,0,Oswego,Tr-Canandaigua Lake,12,0,1,1968,-77.3355555556,42.7011111111
Vincent Nebbia Dam,D,Chemung,,23,0,3,1974,-77.1761111111,42.5419444444
Prattsburg Water Supply Dam,A,Chemung,Tr-Fivemile Creek,20,75,1,0,-77.3011111111,42.5347222222
Ski Valley Pond Dam,A,Oswego,Mud Creek,18,0,1.24,1996,-77.4230555556,42.6977777778
Small Unnamed Pond Dam,A,Oswego,,20,0,0.5,0,-77.4191666667,42.59
Voss Pond Dam,A,Oswego,,0,0,0,0,-77.4197222222,42.5866666667
Browns Reservoir Dam,C,Long Island,W Branch Silver Mine River,48,1375,44,1924,-73.4947222222,41.2158333333
Scotts Reservoir Dam,B,Long Island,West Branch Silvermine Creek,23,0,11,1883,-73.5038888889,41.2311111111
Jaffe Pond Dam,A,Long Island,Tr-Silvermine River,18,70,2,0,-73.5163888889,41.2377777778
Oakridge Land & Property Corp Dam,A,Long Island,Tr-Siscowit Reservoir,10,60,5,1981,-73.5216666667,41.2116666667
Wampus Lake Reservoir Dam,B,Long Island,Wampus River,10,65,38,1940,-73.7258333333,41.145
Cohomong Woods Dam,A,Long Island,Tr-Mianias River,5,0,4,1981,-73.68,41.1655555556
Steinhardt Pond Dam,A,Lower Hudson,,10,140,0,0,-73.7333333333,41.2333333333
C C Wang Pond Dam,D,Long Island,Tr-Rippowam River,7,160,2,0,-73.5377777778,41.2125
Longo Dam,0,Long Island,Tr-Wampus River,10,54,0,0,-73.7116666667,41.15
Loop Hole Road Dam,A,Lower Hudson,Tr-Stone Hill River,4,0,3,0,-73.6058333333,41.2011111111
Dann Farm Subdivision Dam,A,Long Island,,8,0,1.56,0,-73.5419444444,41.1941666667
Southards Pond Dam,A,Long Island,Carlls River,8,500,20,1895,-73.3286111111,40.7094444444
Elda Lake Dam,A,Long Island,Carlls River,7,250,2,1880,-73.3291666667,40.725
Lake Capri Dam,A,Long Island,Willetts Creek,8,350,3,1912,-73.3,40.6955555556
Hidden Lake Dam,0,Long Island,Amityville Creek,0,0,1.84,0,-73.4144444444,40.6708333333
Deer Lake Dam,A,Long Island,Sumpawams Creek,7,140,9,0,-73.3,40.7333333333
Islip Town Park Dam,A,Long Island,Sumpawams Creek,2.5,30,1,0,-73.3116666667,40.7313888889
Webster Pond Dam,A,Long Island,Nissequogue River,10,240,6,1925,-73.2283333333,40.8488888889
Willow Pond Dam,B,Long Island,Nissequogue River,12,300,8,1915,-73.2280555556,40.85
New Mill Pond Dam,A,Long Island,Northeast Branch,15,465,109,1825,-73.2280555556,40.8427777778
Harned Dam,A,Long Island,Tr-Nissequogue River,6,306,3,1969,-73.2316666667,40.8988888889
Phillips Mill Pond Dam,B,Long Island,Nissequogue River,10,500,7,1850,-73.2138888889,40.8575
Louis Daniele Pond Dam,0,Lower Hudson,Tr-Mill Brook,16,250,1,1965,-73.6761111111,41.785
Virginia Brown Lake Dam,0,Lower Hudson,Stone Church Brook,10,500,4,1965,-73.6111111111,41.7591666667
Mcnab Wildlife Pond Dam,0,Lower Hudson,Shekomeko Creek,13,510,2,0,-73.6194444444,41.9155555556
All American Sports City Inc Rec Dam,B,Lower Hudson,Tr-Cold Spring Creek,14,980,36,1966,-73.72,41.9947222222
Eliot Clarke Farm Pond Dam,0,Housatonic,Tr-Wassaic Creek,16,600,2,1969,-73.6111111111,41.8347222222
Read Bros Pond Dam,0,Oswego,Tr-Canandaigua Lake,5,0,19,1952,-77.3225,42.8163888889
Robert Kesel Pond Dam,A,Oswego,Tr-Great Brook,14,0,5,1953,-77.4458333333,42.9422222222
S Wilkin Pond #1 Dam,A,Oswego,Tr-Sucker Brook,6,0,5,1953,-77.3055555556,42.8694444444
S Wilkin Pond #2 Dam,D,Oswego,Tr-Canandaigua Lake,3,0,6,1953,-77.2958333333,42.8708333333
Lancaster Industrial Commerce Dam,A,Lake Erie,Tr-Elliott Creek,9,0,4,0,-78.6277777778,42.9247222222
Mackler Pond Dam,A,Lake Erie,None,12,180,1,1991,-78.6358333333,42.775
Tillman Road Dam,A,Lake Erie,Ransom Creek,6,300,93,1991,-78.6063888889,42.9661111111
West Seneca Industrial Park Dam,B,Lake Erie,Seneca Creek,6,282,11,1993,-78.7430555556,42.8466666667
Flattail Lake Dam,A,Lake Erie,Tr-Slate-Bottom Creek,14,500,8,1940,-78.7225,42.8886111111
Winsord Park Dam,A,Lake Erie,Trib-Ransom Creek,106,650,2,2006,-78.7055555556,42.9911111111
Yaws Mill Dam,D,Lake Erie,W.Branch Cazenovia Creek,12,130,0,0,-78.6688888889,42.7166666667
West Falls Mill Dam,A,Lake Erie,W.Branch Cazenovia Creek,8,150,2,0,-78.6794444444,42.7025
Freemans Dam,D,Lake Erie,W Branch Cazenovia Creek,7,100,0,0,-78.6769444444,42.6322222222
Millers Saw Mill Dam,D,Lake Erie,West Branch Cazenovia Creek,6,110,0,1860,-78.6855555556,42.645
Grays Mill Dam,D,Lake Erie,W Branch Cazenovia Creek,7,90,0,0,-78.6827777778,42.6444444444
Brunnen Mill Dam,D,Lake Erie,Eighteen Mile Creek,10,80,0,0,-78.7416666667,42.6277777778
Griggs Mill Dam,D,Lake Erie,E Branch Cazenovia Creek,12,128,0,1850,-78.5472222222,42.6402777778
Lamker Dam,A,Lake Erie,Stony Brook,8,0,5,1945,-78.2333333333,42.7305555556
Camp Vick Dam,A,Genesee,Tr-East Koy Creek,12,0,5,1950,-78.1866666667,42.6391666667
W S Beardsley Dam,D,Genesee,Tr-Genesee River,5,0,7,1951,-78.0444444444,42.5575
Paul Mccormick Farm Pond Dam,0,Genesee,Tr-East Koy Creek,8,0,13,1953,-78.2066666667,42.6347222222
Emma Cook Marsh Dam,0,Genesee,Tr-Oatka Creek,9,0,8,1953,-78.1,42.7486111111
C Gibson Irrigation Pond Dam,A,Genesee,Tr-Genesee River,12,0,1,1954,-78.0072222222,42.5311111111
Kresse Wildlife Marsh Dam,A,Genesee,Tr-East Koy Creek,7,65,20,1953,-78.1416666667,42.5747222222
Irvin Gould Pond Dam,A,Genesee,Tr-Trout Brook,12,0,2,1955,-78.2180555556,42.5980555556
Lawrence Hume Marsh Dam,0,Genesee,Tr-Wolf Creek,7,0,2,1954,-78.0861111111,42.6430555556
Flint Marsh Dam,A,Genesee,Tr-Wiscoy Creek,13,250,23,1956,-78.16,42.56
Flint Pond Dam,0,Genesee,Tr-Wiscoy Creek,11,0,8,1957,-78.1594444444,42.5588888889
Beaver Pond Dam,A,Lower Hudson,Tr-Punsit Creek,6,140,19,0,-73.53,42.31
Leroy Denbesten Pond Dam,A,Lower Hudson,Tr-Multzes Kill,21,400,6,1980,-73.7205555556,42.4538888889
Stottville Mill Dam,A,Lower Hudson,Claverack Creek,10,250,3,0,-73.735,42.2861111111
Fred Simmons Dam,A,Lower Hudson,Tr-Stony Kill Creek,8,200,1,1984,-73.5886111111,42.4052777778
Hannaford Brothers Detention Basin Dam,A,Lower Hudson,Tr-Muitzes Kill,14,0,1,1990,-73.6680555556,42.4919444444
Earle Lawrence Dam,A,Lower Hudson,Tr-North Creek,27,220,4,0,-73.5666666667,42.3166666667
Columbia County Commerce Center Dam,A,Lower Hudson,Mud Creek,5,0,3.14,0,-73.7083333333,42.2833333333
S Deuel Dam,A,Lower Hudson,Ham Brook,10,150,3,1928,-73.7,42.0022222222
Melcher Dam,A,Lower Hudson,Tr-Taghkanic Creek,22,425,6,1930,-73.5883333333,42.1616666667
(228-0903),D,Lower Hudson,Tr-Roeliff Jansen Kill,0,0,0,0,-73.7441666667,42.0069444444
(228-0905),D,Lower Hudson,Tr-Roeliff Jansen Kill,0,0,0,0,-73.7463888889,42.0097222222
Ancram Mill Dam,A,Lower Hudson,Roeliff Jansen Kill,18,91,1,1912,-73.6341666667,42.05
Philmont Dam,A,Lower Hudson,Tr-Claverack Creek,12,92,2,1933,-73.6566666667,42.2475
Robinson Pond Dam,B,Lower Hudson,Roeliff Jansen Kill,17,80,125,1915,-73.5633333333,42.1130555556
Churchtown Dam,C,Lower Hudson,Tr-Taghkanic Creek,44,420,15,1914,-73.7183333333,42.1647222222
Forest Pond Dam,A,Lower Hudson,Tr-Taghkanic Creek,5,265,4,1896,-73.625,42.1875
Renwick Pond Dam,A,Lower Hudson,Tr-Roeliff Jansen Kill,14,100,2,1939,-73.5133333333,42.1925
Dally Dam,A,Lower Hudson,Tr-Roeliff Jansen Kill,5,110,2,1924,-73.51,42.2072222222
Mill #4 Dam,A,Lower Hudson,Tr-Claverack Creek,16,210,1,0,-73.665,42.2458333333
Summit Street Lake Dam,C,Lower Hudson,Agawamuck Creek,28,150,16,1914,-73.6480555556,42.2463888889
Philmont Reservoir Dam,B,Lower Hudson,Tr-Agawamuck Creek,35,240,38,1916,-73.61,42.2419444444
Kiln Pond Dam,A,Lake Champlain,Tr-Trout Pond Brook,30,490,17,1985,-73.55,44.4
Nx2hvn Dam,A,Lake Champlain,Tr-N Br Bouquet River,14,175,3,0,-73.5497222222,44.3505555556
Eric Johanson Pond Dam,A,Lake Champlain,Tr-Ausable River,24,0,1.25,0,-73.5625,44.4586111111
Geideiko Pond Dam,0,Lake Champlain,Tr-Ausable River,16,0,1,2001,-73.6611111111,44.4086111111
Sweatt Dam,A,Lake Champlain,Tr-Bouquet River,8,100,4,1891,-73.5713888889,44.2391666667
Whaleback Dam,A,Oswego,,18,0,8,2001,-77.3277777778,42.6880555556
Raceway Dam,D,Chemung,Cohocton River,12,432,0,1830,-77.3277777778,42.3333333333
Philip Kelley Pond Dam,A,Lake Erie,Tr-East Branch Cazenovia Creek,19,0,1,1961,-78.5619444444,42.6252777778
Leo Petrie Pond Dam,A,Lake Erie,Tr-Pipe Creek,12,0,3,1961,-78.6394444444,42.6527777778
John Keefe Farm Pond Dam,A,Lake Erie,Tr-Cattaraugus Creek,14,0,1,1961,-78.5327777778,42.5472222222
Robert Fierle Pond Dam,0,Lake Erie,Tr-East Cazenovia Creek,15,0,6,1962,-78.5808333333,42.7477777778
John Gebhardt Pond Dam,A,Lake Erie,Tr-E.Branch Cazenovia Crk,18,0,3,1962,-78.5766666667,42.7347222222
Ray Zep Pond Dam,A,Lake Erie,Tr-Hunter Creek,15,0,2,1962,-78.5133333333,42.665
Preston Rice Pond Dam #1,A,Lake Erie,Tr-East Branch Cazenovia Creek,22,470,7,1962,-78.53,42.5783333333
Robert Kenworthy Pond Dam,A,Lake Erie,Tr-East Branch Cazenovia Creek,12,0,2,1962,-78.5644444444,42.7169444444
Preston Rice Pond Dam #2,A,Lake Erie,Tr-East Branch Cazenovia Creek,18,0,2,1962,-78.5275,42.5775
Frank Taylor Pond Dam,A,Lake Erie,Tr-E Branch Cazenovia Crk,13,0,2,1962,-78.5819444444,42.6333333333
Howard Draper Pond Dam,A,Lake Erie,Tr-East Cazenovia Creek,17,0,1,0,-78.5480555556,42.6111111111
Erie County Forestry Dam,A,Lake Erie,Tr-Hyler Creek,16,0,2,0,-78.5827777778,42.5475
Clifford Butler Pond Dam,A,Lake Erie,Tr-Dresser Creek,11,0,1,0,-78.56,42.5288888889
Clearence Heary Pond Dam,A,Lake Erie,Tr-Eighteen Mile Creek,20,0,2,1966,-78.7222222222,42.5736111111
Edward Geisendorf Dam,D,Lake Erie,Tr-Smoke Creek,19,0,2,0,-78.7108333333,42.7422222222
Walter Siwiec Pond Dam,A,Lake Erie,Tr-West Cazenovia Creek,15,0,1,1967,-78.6794444444,42.7380555556
Sprague Brook Park Dam #1,A,Lake Erie,Tr-West Cazenovia Creek,16,0,3,1967,-78.6436111111,42.5944444444
Sprague Brook Park Dam #2,A,Lake Erie,Tr-West Cazenovia Creek,21,0,3,1967,-78.63,42.5911111111
Garth Brink Pond Dam,A,Lake Erie,Tr-West Cazenovia Creek,17,0,3,1968,-78.6883333333,42.6377777778
William Heary Pond Dam,A,Lake Erie,Tr-18 Mile Creek,10,0,9,1968,-78.7347222222,42.5780555556
Holland Hills Development Corp Dam,A,Lake Erie,Tr-Sprague Brook,14,900,6,1969,-78.6119444444,42.6286111111
Friendship Village Reservoir Dam,D,Genesee,None,8,0,0,1898,-78.1333333333,42.2
Dr L L Older Pond Dam,0,Genesee,Van Campen Creek,12,0,1,1947,-78.1938888889,42.2044444444
Robert Mcninch Pond Dam,D,Genesee,Phillips Creek,11,0,2,1947,-78.0058333333,42.2430555556
R M Kirsch Pond Dam,D,Genesee,Tr-Genesee River,8,0,1,1950,-78.0519444444,42.2091666667
Robert Mcninch Wildlife Dam,A,Genesee,Tr-Phillips Creek,6,0,4,1952,-78.0058333333,42.2488888889
Robert Mcninch Marsh Dam #2,A,Genesee,Tr-Phillips Creek,5,0,3,1952,-78.0047222222,42.2491666667
Robert Mcninch Marsh Dam #3,A,Genesee,Tr-Feather Creek,6,0,2,1952,-78.0075,42.2486111111
Robert Hundt Farm Pond Dam,A,Housatonic,Tr-Wassaic Creek,14,520,4,1972,-73.5875,41.865
Staats Pond Dam,A,Lower Hudson,Tr-Wappinger Creek,16,360,6,1972,-73.7375,41.8972222222
David Farm Pond Dam,A,Lower Hudson,Tr-Cold Spring Creek,0,0,0,1973,-73.7372222222,41.9966666667
Millbrook Dam,B,Lower Hudson,Tr-Mill Brook,12,25,2,0,-73.6975,41.7891666667
Pondfield Farm Pond Dam,A,Lower Hudson,Tr-Wappinger Creek,11,70,1,1975,-73.6933333333,41.8755555556
Wilfred C Beam Dam,A,Lower Hudson,Tr-Cold Spring Creek,16,240,5,1980,-73.7194444444,41.9361111111
Round Pond Dam,A,Lower Hudson,Tr-E Branch Wappinger Crk,10,50,19,1930,-73.6777777778,41.8261111111
Twin Island Lake Dam,0,Lower Hudson,Wappinger Creek,5,0,0,0,-73.6733333333,41.9766666667
Dietrich Pond Dam,0,Lower Hudson,Wappinger Creek,3,0,0,0,-73.6933333333,41.795
Wilbur Pond Dam,0,Lower Hudson,Tr-Roeliff Jansen Kill,6,0,4,0,-73.7336111111,41.9736111111
Arbor Pond Dam,A,Lower Hudson,Tr-East Br Wappinger Creek,27,330,3,1987,-73.6841666667,41.8383333333
Stabernack Dam #1,A,Lower Hudson,Tr-Wassaic Creek,12,72,0.13,1993,-73.6255555556,41.8575
Keith Pond Dam,A,Lower Hudson,Tr-Wappinger Creek,14,300,2,0,-73.7152777778,41.7819444444
Killearn Road Ponds Dam,A,Lower Hudson,,0,0,5,0,-73.6591666667,41.7536111111
Levine Pond Dam,A,Lower Hudson,,18,150,1.76,0,-73.7213888889,41.7683333333
Gananda Golf Course Dam,A,Oswego,Black Creek,9,342,106,0,-77.3263888889,43.125
Glenbrook Detention Pond A Dam,A,Central Lake Ontario,Tufa Glen Stream,4,1120,2,0,-77.4875,43.1783333333
City Of Oswego Dam,A,Central Lake Ontario,Oswego River,21,104,6,1956,-76.5069444444,43.4527777778
Earl Mitchelson Dam,A,Central Lake Ontario,Tr-Rice Creek,7,350,23,1958,-76.5391666667,43.415
Marion Teachout Wildlife Marsh Dam,A,Central Lake Ontario,Tr-Sterling Valley Creek,9,115,19,1958,-76.6283333333,43.3116666667
State University College At Oswego Dam,A,Central Lake Ontario,Rice Creek,8,350,29,1963,-76.5541666667,43.4308333333
Robert Scott Dam,A,Central Lake Ontario,Tr-Sterling Creek,12,300,1,1964,-76.5994444444,43.3138888889
Allen R Bremmer Dam,A,Central Lake Ontario,Tr-Sterling Creek,11,0,2,1972,-76.6322222222,43.3313888889
Oswego Barge Canal Lock 8 Dam,A,Oswego,Oswego River,14,0,0,0,-76.5094444444,43.4569444444
Wiltse Dam,A,Central Lake Ontario,Eightmile Creek,13,50,16,0,-76.5811111111,43.3766666667
Red Creek Dam,C,Central Lake Ontario,Red Creek,18,365,13,0,-76.7216666667,43.2469444444
Westbury Dam,B,Central Lake Ontario,Red Creek,12,210,20,1902,-76.7008333333,43.2141666667
W W Smith Dam,D,Central Lake Ontario,,8,50,0,1832,-76.6344444444,43.2027777778
Albright Farm Pond Dam,0,Genesee,Tr-East Koy Creek,12,0,1,1957,-78.1041666667,42.6047222222
Water Supply Improvements Dam,0,Genesee,Tr-Wolf Creek,7,0,1,1963,-78.0708333333,42.6222222222
William Miligan Dam,A,Genesee,Tr-Oatka Creek,12,0,4,1964,-78.1413888889,42.6638888889
Norman Brisk Dam,A,Genesee,Tr-East Koy Creek,11,0,4,1964,-78.2486111111,42.6277777778
Nial Minick Dam,D,Genesee,Tr-Genesee River,20,0,1,1965,-78.0163888889,42.5305555556
Richard Bannister Dam,A,Genesee,Tr-Oatka Creek,15,0,3,1966,-78.1230555556,42.7416666667
Stuyvesant Falls Dam,B,Lower Hudson,Kinderhook Creek,22,265,46,1939,-73.7313888889,42.3591666667
Chatham Reservoir Dam,A,Lower Hudson,Tr-Stony Kill,20,168,0.7,0,-73.5916666667,42.3616666667
L F Payn Dam,A,Lower Hudson,Stony Kill,14,96,1,1910,-73.5761111111,42.3775
Hutchinson River Parkway Detention Dam,A,Long Island,Tr-Mamaroneck River,13,1025,1,0,-73.725,40.9916666667
Hampshire Country Club Dam,A,Long Island Sound,,15,0,3,0,-73.7375,40.9325
South Pond Dam,A,Long Island,Mill River,13,800,21,1903,-73.6533333333,40.6683333333
Hempstead Lake Dam,C,Long Island,Mill River,24,1200,149,1873,-73.6477777778,40.6730555556
Milburn Pond Dam,A,Long Island,Milburn Creek,6,200,2,1900,-73.6011111111,40.6516666667
Seaman Pond Dam,A,Long Island,Bellmore Creek,10,350,6,1890,-73.515,40.6744444444
Motts Creek Dam,A,Long Island,Motts Creek,6,755,44,1955,-73.7316666667,40.64
Whiteside Dam,A,Lake Champlain,Great Chazy River,9,279,2.8,1914,-73.475,44.995
Fordhams Mills Dam,A,Lake Champlain,Little Chazy River,20,510,4,0,-73.4166666667,44.9022222222
Little Chazy Dam,A,Lake Champlain,Little Chazy River,18,197,3,1909,-73.4366666667,44.8894444444
W H Miner Dam #2,A,Lake Champlain,Little Chazy River,11,107,3,1909,-73.435,44.8855555556
Tracy Brook Dam #1,0,Lake Champlain,Tracy Brook,15,60,3,1909,-73.48,44.8722222222
Tracy Brook Dam #2,0,Lake Champlain,Tracy Brook,0,0,0,0,-73.4758333333,44.8755555556
Tracy Brook Dam #3,0,Lake Champlain,Tracy Brook,0,0,0,0,-73.4736111111,44.8577777778
Tracy Brook Dam #4,0,Lake Champlain,Tracy Brook,8,70,2,1907,-73.4736111111,44.8577777778
Tracy Brook Dam #5,0,Lake Champlain,Tracy Brook,12,108,3,1907,-73.4736111111,44.8577777778
Lake Alice Dam,A,Lake Champlain,Tracy Brook,12,700,64,1907,-73.485,44.8716666667
Miner Dam,A,Lake Champlain,Little Chazy River,15,175,3,1926,-73.4125,44.9038888889
